,GameID,Team,TeamVegas,ClosingSpread,TeamFP,MIN,Pred
1968,21901243.0,LA Lakers,113.75,-2.5,221.0,240.01000000000002,245.46502297642658
1969,21901243.0,Toronto,111.25,2.5,244.75,239.99999999999994,240.11059808856612
1970,21901244.0,Brooklyn,117.0,-4.0,241.5,240.01,251.0063107296999
1971,21901244.0,Washington,113.0,4.0,241.0,239.99999999999997,242.43923090912313
1972,21901245.0,Boston,115.75,-3.5,255.0,240.01000000000002,248.89688412614777
1973,21901245.0,Portland,112.25,3.5,255.75,239.98000000000002,241.40068928314312
1974,21901246.0,Memphis,120.0,-2.5,220.75,240.01999999999998,255.30242369371445
1975,21901246.0,San Antonio,117.5,2.5,238.25,240.03000000000003,249.94799880585398
1976,21901247.0,Orlando,115.0,-2.5,282.0,240.01999999999995,247.43250311988416
1977,21901247.0,Sacramento,112.5,2.5,240.75,240.0,242.0780782320237
1978,21901248.0,Houston,120.5,4.5,249.0,240.01,254.102165309774
1979,21901248.0,Milwaukee,125.0,-4.5,268.25,240.01,263.74013010792294
1980,21901249.0,Dallas,120.75,-5.5,242.25,240.0,257.3345905403562
1981,21901249.0,Phoenix,115.25,5.5,240.75,240.01000000000002,245.55485578706313
1982,21901250.0,Miami,109.5,2.5,245.75,239.99000000000004,237.3561258877255
1983,21901250.0,Toronto,112.0,-2.5,220.75,240.01,242.710550775586
1986,21901252.0,Indiana,118.25,-8.5,239.75,240.0,254.25130901400829
1987,21901252.0,Washington,109.75,8.5,239.25,239.99999999999997,236.0462643952826
1988,21901253.0,Memphis,116.0,4.5,228.75,240.01999999999998,247.01923679332674
1989,21901253.0,New Orleans,120.5,-4.5,236.25,240.01000000000002,256.65720159147565
1990,21901254.0,Philadelphia,117.5,-7.0,252.25,240.0,252.64498154765013
1991,21901254.0,San Antonio,110.5,7.0,255.5,239.98,237.65259186164076
1992,21901255.0,LA Lakers,111.5,-6.0,239.5,239.97999999999996,242.91718393886472
1993,21901255.0,Utah,105.5,6.0,236.5,239.99999999999997,230.06656420799953
1994,21901256.0,Brooklyn,105.25,18.5,252.5,240.0,226.12440667694466
1995,21901256.0,Milwaukee,123.75,-18.5,259.0,240.0,265.74715084711227
1998,21901258.0,LA Clippers,119.25,-8.5,225.5,240.01000000000002,255.82529312877435
1999,21901258.0,Phoenix,110.75,8.5,232.0,240.02000000000004,237.62024851004867
2000,21901259.0,Indiana,111.25,1.0,239.5,240.0,240.53643746884973
2001,21901259.0,Orlando,112.25,-1.0,219.25,240.0,242.6782074239939
2002,21901260.0,Boston,111.25,-4.5,219.75,240.01,242.0978485298896
2003,21901260.0,Miami,106.75,4.5,237.0,239.97999999999996,232.45988373174072
2004,21901261.0,Houston,123.0,-3.0,221.25,240.01,260.1663224981072
2005,21901261.0,Portland,120.0,3.0,253.0,239.99999999999997,253.74101263267457
2006,21901262.0,Memphis,107.0,5.0,230.25,240.01999999999998,232.71143330033772
2007,21901262.0,Utah,112.0,-5.0,254.5,240.00000000000003,243.42028307605867
2008,21901263.0,Philadelphia,118.5,-10.5,241.25,240.01,255.21259088307792
2009,21901263.0,Washington,108.0,10.5,220.5,239.99999999999997,232.72400635406387
2010,21901264.0,Denver,114.25,-2.0,272.0,239.99,246.1100685737151
2011,21901264.0,San Antonio,112.25,2.0,252.25,240.00000000000003,241.8265286634267
2012,21901265.0,LA Lakers,111.5,-5.0,197.0,240.0,242.63329101867564
2013,21901265.0,Oklahoma City,106.5,5.0,226.5,240.01000000000002,231.92444124295469
2014,21901266.0,Orlando,107.5,7.0,227.75,239.99,232.9306395173426
2015,21901266.0,Toronto,114.5,-7.0,231.0,240.00000000000003,247.92302920335194
2016,21901267.0,Boston,116.5,-9.0,303.25,240.01000000000005,251.6387832732622
2017,21901267.0,Brooklyn,107.5,9.0,226.5,239.99999999999994,232.36285367696448
2018,21901268.0,New Orleans,119.0,-4.0,238.5,239.99999999999997,254.15427895923202
2019,21901268.0,Sacramento,115.0,4.0,267.75,240.01000000000005,245.58719913865522
2020,21901269.0,Miami,107.25,9.5,240.75,240.01,231.82741118817842
2021,21901269.0,Milwaukee,116.75,-9.5,260.0,240.01000000000002,252.17422576204825
2022,21901270.0,Indiana,114.5,-1.0,211.0,240.01,246.21967168221752
2023,21901270.0,Phoenix,113.5,1.0,252.75,239.99,244.07790172707334
2024,21901271.0,Dallas,113.5,4.0,219.25,239.98999999999998,243.22622296650613
2025,21901271.0,LA Clippers,117.5,-4.0,237.25,240.02000000000007,251.79330278708292
